id;numero;prenom;nom;email;type_client_id;segment_client_id
e5e200c2-b827-4477-9b8c-4e50d460479e;drelin rédaction âcre;avant;avare;Conception_Thomas50@gmail.com;802cc264-d4f0-4507-b27d-0510e20296ea;efe8343b-bbd0-47da-a7ab-27fe8fe93eff
2f6173dc-1e7f-4b02-8eff-caa821f60d31;circulaire avant de;magnifique autrement;autour de;Constance61@hotmail.fr;debe05a7-eb20-4b36-831d-a9aa6781f7a1;797ee22d-19bb-49ab-898b-8a10578bc9d2
c927ed79-2e43-42af-943e-74305a7561a4;pourpre céder;aux environs de à défaut de partenaire;approximativement vorace alentour;Zoeva41@gmail.com;6858ddbf-a421-479f-820e-d3a78b1e55c9;7b3bc3d9-5ffd-486e-b7fa-1b1acdecd678
09d20dbd-5dfe-4cbc-a0cd-d112724b8500;fourbe jusqu’à ce que moins;plic;corps enseignant;Alexandre98@gmail.com;897350f9-a42e-4dc2-8265-0a6415ef1f7e;0857dd0c-3b3d-410e-8743-d591d7a035c9
66223fd8-4192-48ec-85ab-11f4e8604fc2;sitôt que;efficace vu que;émérite aussitôt que;Mireille73@yahoo.fr;c205ca5c-7d3e-44a7-8b34-13fe8dfff417;4c237cbe-1fb0-4356-8b93-04f91bf2705d
1e6d1ee2-6104-40eb-a476-f036beb3ba01;ah;patientèle;pschitt;Laurine.Lopez22@hotmail.fr;cf7ac06e-85cf-418f-8d52-c865674b0eb2;037369a9-87af-4d2f-babb-57d31f0a9f97
9a7ae3c4-8bbd-4549-8059-00021480c95f;souple;sans doute marquer;étranger;Raoul.Martinez@gmail.com;5fdf6160-d5ce-42d8-ad65-8be71b09e011;42026383-e86f-4095-a4a7-247242ac64ee
f5b4d30e-f7e6-49c1-af81-0e2fa259aa67;bè agréable triangulaire;quand mairie;quoique;Stanislas.Bernard@yahoo.fr;034d0666-3860-48e0-820b-c28238f72c7c;902ce1db-b91b-4ec8-99da-a74c709d65be
f2d11423-7aa6-4238-9328-7279b7d50265;blême brûler;triste si bien que;tant que grandement;Girart17@gmail.com;c279a100-730c-4eba-bbc3-ebc091f8e282;8253fa15-a2d5-4114-ba89-a2857bbf4636
35375b8f-17e8-4124-8c80-c9d517c7316c;candide;là altruiste conseil d’administration;dehors extatique vis-à-vie de;Alexis.Brun92@gmail.com;7505ec2a-93e0-4363-ac7d-2c17f26e104b;e57aceb7-4d1f-411a-a9ee-21ba84a34a0b
8161b332-1910-4bea-94b4-9ec51e3d5a68;outre habituer;de façon à ce que;bzzz;Ludolphe.Royer85@yahoo.fr;8c37aca4-63e0-4115-a39b-3615e2d49b11;656f69e5-3066-4e53-9194-389f8f2f48e5
64d195a7-de24-420d-a236-2e0024be7b48;aux alentours de soit juriste;équipe;moyennant;Germain19@gmail.com;75bab415-e697-4dce-ac38-05662f786660;91d765bd-a969-436a-a297-2d5dfe7fa57b
06bb1162-daaa-4428-bd85-0077cf1a8af7;vlan concurrence;ferme;égoïste;Matthieu.Menard@hotmail.fr;dfbc6825-aac5-48cb-91f8-fac9eb84b1b6;595dc3c6-4759-4c92-8399-d2c91d1a1184
9b24f7ca-d1d0-4126-a5ce-2f9c0e61d482;volontiers;depuis selon tant;dedans;Francisque_Denis@hotmail.fr;771fbb05-4ba4-45ed-83fe-aa2f698a84a4;5add51c2-2dab-4ac6-99cd-2858a9b096d7
7299d01f-5506-402b-8acd-8ba857288886;mal prestataire de services;diététiste;chut maigre trop;Ismerie90@yahoo.fr;2554e3d0-752c-408b-9005-f5fb290388e0;e3206c1f-5190-4494-b825-920a66ad71a1
531f549f-dd5e-4a33-a840-5323d1ede974;police en plus de;chut à l'instar de;miam si altruiste;Benedicte_Joly38@gmail.com;0a97f73f-bfa0-4394-8dfe-2da5d2b3b0a9;075136d4-bb74-4cff-b9a4-f0ba8c3a8d4d
52630815-09b9-4640-b920-94d5bf285feb;snob;charitable approfondir jusque;négliger adorable;Gedeon35@hotmail.fr;e72e3615-ded8-4327-b36a-4ebdeade5418;ac83ed76-08c2-41ca-9a01-eaa02184bae8
71493c5a-1aad-4882-a3bc-f9d03a096195;tchou tchouu attaquer;splendide considérable;badaboum;Adonis29@hotmail.fr;035fa4ad-c7d6-4ef5-bb4d-d8fd1e898e36;9b4b31ac-39d0-48db-9152-e2bb2ef8216c
9188d9bf-b7c1-4404-bf9f-69e243a88f7f;si bien que;si bien que;évaluer;Mallaury9@yahoo.fr;dd591818-4d53-47f8-b9d6-4893632f9b86;4a47974f-57e5-4545-bb20-b4fa530aed81
d9eb52ff-c8ed-4592-af08-db22ba168a30;subsister;loin diététiste désagréable;secouriste membre titulaire à bas de;Romeo.Fabre@yahoo.fr;14c4f6ad-d43d-4673-8352-c97bf20ad0f3;cf066469-4913-4041-804e-213b0e5f4a96
42afb449-5dff-487a-bffc-d51ea7edc9c6;avant que sauvage;chef secours;meuh;Guilhemine_Aubry70@gmail.com;a02bbcaf-b6cd-4dd9-a514-be62abf63b72;a0264777-0890-4efa-8cc2-6765babc8214
